BANK_ID,NAME,DISPLAY_NAME,SHORT_NAME,UPDATE_DATE
165,Bank of America,Bank of America,BOA,2019-09-20 09:21:44.100000000
166,Bank of America (US),Bank of America (US),BOA (US),2019-09-20 09:21:44.100000000
167,Bank of America (Canada),Bank of America (Canada),BOA (Canada),2019-09-20 09:21:44.100000000
168,Bank of America (Visa),Bank of America (Visa),BoA (Visa),2019-09-20 09:21:44.100000000
169,Bank of America (Europe),Bank of America (Europe),BoA Europe,2019-09-20 09:21:44.100000000
170,Bidvest Bank,Bidvest Bank,Bidvest Bank,2019-09-20 09:21:44.100000000
171,UBS,UBS,UBS,2019-09-20 09:21:44.100000000
172,Bankinter,Bankinter,Bankinter,2019-09-20 09:21:44.100000000
173,Scotia Bank,Scotia Bank,Scotia Bank,2019-09-20 09:21:44.100000000
174,United Overseas Bank (Thailand),United Overseas Bank (Thailand),UOB (TH),2019-09-20 09:21:44.100000000
175,United Overseas Bank (Indonesia),United Overseas Bank (Indonesia),UOB (Indo),2019-09-20 09:21:44.100000000
176,AMEX Serbia,AMEX Serbia,AMEX Serbia,2019-09-20 09:21:44.100000000
177,UBS AG,UBS AG Bank,UBS AG,2019-09-20 09:21:44.100000000
178,Citibank Australia CTA,Citibank Australia CTA,Citi AU CTA,2019-09-20 09:21:44.100000000
179,Citibank New Zealand CTA,Citibank New Zealand CTA,Citi NZ CTA,2019-09-20 09:21:44.100000000
180,ANZ,ANZ,ANZ,2019-09-20 09:21:44.100000000
181,HSBC UK,HSBC UK,HSBC UK,2019-09-20 09:21:44.100000000
182,HSBC Australia,HSBC Australia,HSBC AU,2019-09-20 09:21:44.100000000
183,HSBC,HSBC,HSBC,2019-09-20 09:21:44.100000000
184,HSBC Canada,HSBC Canada,HSBC CA,2019-09-20 09:21:44.100000000
185,HSBC Ireland,HSBC Ireland,HSBC Ireland,2019-09-20 09:21:44.100000000
186,HSBC US,HSBC US,HSBC US,2019-09-20 09:21:44.100000000
187,HSBC Sri Lanka,HSBC Sri Lanka,HSBC SL,2019-09-20 09:21:44.100000000
190,Citibank Diners,Citibank Diners,Citi Diners,2019-09-20 09:21:44.100000000
191,Citibank China,Citibank China,Citi China,2019-09-20 09:21:44.100000000
192,Airplus Germany,Airplus Germany,Airplus DEU,2019-09-20 09:21:44.100000000
193,HSBC Middle East,HSBC Middle East,HSBC ME,2019-09-20 09:21:44.100000000
194,Citibank Canada,Citibank Canada,Citi Canada,2019-09-20 09:21:44.100000000
195,Bank of Western Australia,Bank of Western Australia,Bankwest,2019-09-20 09:21:44.100000000
196,Lloyds Bank,Lloyds Bank,Lloyds,2019-09-20 09:21:44.100000000
197,Lloyds Bank (Lodge),Lloyds Bank (Lodge),Lloyds Lodge,2019-09-20 09:21:44.100000000
198,Amex GL France,Amex GL France,Amex GL FR,2019-09-20 09:21:44.100000000
199,Amex Hong Kong,Amex HK,Amex HK,2019-09-20 09:21:44.100000000
200,Mitsui Sumitomo Visa,MS Visa,MS Visa,2019-09-20 09:21:44.100000000
201,Diners Club Japan,Diners Club Japan,Diners,2019-09-20 09:21:44.100000000
202,Japan Credit Bureau,Japan Credit Bureau,JCB,2019-09-20 09:21:44.100000000
203,Diamond Credit Card,Diamond Credit Card,DC Card,2019-09-20 09:21:44.100000000
204,Toyota Finance,Toyota Finance,TFS,2019-09-20 09:21:44.100000000
205,Credit Saison,Credit Saison,Cr Saison,2019-09-20 09:21:44.100000000
206,Branch Banking & Trust Corporation,BB&T Corp,BB&T Corp,2019-09-20 09:21:44.100000000
207,Branch Banking & Trust Lodge,BB&T Lodge,BB&T Lodge,2019-09-20 09:21:44.100000000
208,Citibank Taiwan,Citibank Taiwan,Citi TW,2019-09-20 09:21:44.100000000
209,Citibank Shanghai,Citibank Shanghai,Citi SH,2019-09-20 09:21:44.100000000
210,Citibank Malaysia,Citibank Malaysia,Citi Malay,2019-09-20 09:21:44.100000000
211,Citibank Indonesia,Citibank Indonesia,Citi ID,2019-09-20 09:21:44.100000000
212,Citibank Philippines,Citibank Philippines,Citi PH,2019-09-20 09:21:44.100000000
213,NAB - Cash Card,NAB - Cash Card,NAB CashCard,2019-09-20 09:21:44.100000000
214,Bank of America (Corporate),Bank of America (Corporate),BoA (Corp),2019-09-20 09:21:44.100000000
215,Citibank US,Citibank US,Citibank US,2019-09-20 09:21:44.100000000
216,Citibank Asia,Citibank Asia,Citi Asia,2019-09-20 09:21:44.100000000
217,Citibank,Citibank,Citibank,2019-09-20 09:21:44.100000000
218,Citibank Venezuela,Citibank Venezuela,Citi VEN,2019-09-20 09:21:44.100000000
219,Citibank US,Citibank US,Citi US,2019-09-20 09:21:44.100000000
220,Bank of Montreal,Bank of Montreal,BOM,2019-09-20 09:21:44.100000000
221,Diners AU Dual Card (Diners),Diners AU Dual Card (Diners),DDCD,2019-09-20 09:21:44.100000000
222,Diners AU Dual Card (MasterCard),Diners AU Dual Card (MasterCard),DDCM,2019-09-20 09:21:44.100000000
225,Bank Card Corporate,Bank Card Corporate,BCC,2019-09-20 09:21:44.100000000
230,Bank of Scotland,Bank of Scotland,BoS,2019-09-20 09:21:44.100000000
231,CBA - MC Travel & Entertainment,CBA - MC Travel & Entertainment,CWB - MC Cor,2019-09-20 09:21:44.100000000
232,CBA - MC Purchasing,CBA - MC Purchasing,CWB - MC Pur,2019-09-20 09:21:44.100000000
233,Commonwealth Bank - CBA Corporate,CBA - Corporate,CBA - Corp,2019-09-20 09:21:44.100000000
239,Eurocard,Eurocard,Eurocard,2019-09-20 09:21:44.100000000
240,Citibank France,Citibank France,Citi France,2019-09-20 09:21:44.100000000
241,Citibank Germany,Citibank Germany,Citi Germany,2019-09-20 09:21:44.100000000
242,Citibank Netherlands,Citibank Netherlands,Citi Dutch,2019-09-20 09:21:44.100000000
243,ANZ - Procurement,ANZ - Procurement,ANZ - Pro,2019-09-20 09:21:44.100000000
244,Citibank Thailand,Citibank Thailand,Citi Thai,2019-09-20 09:21:44.100000000
245,Citibank Japan,Citibank Japan,Citi JP,2019-09-20 09:21:44.100000000
246,AMEX UK Purchasing,AMEX UK Purchasing,AMEX UK,2019-09-20 09:21:44.100000000
247,Citibank Israel,Citibank Israel,Citi Israel,2019-09-20 09:21:44.100000000
248,Royal Bank of Scotland,RBS MasterCard,RBS MC,2019-09-20 09:21:44.100000000
250,China Merchants Bank,China Merchants Bank,CMB,2019-09-20 09:21:44.100000000
251,Visa Westpac Bank,Visa Westpac Bank,Visa Westpac,2019-09-20 09:21:44.100000000
252,Visa Westpac AU,Visa Westpac AU,Visa Wpac AU,2019-09-20 09:21:44.100000000
253,Visa Westpac Corporate,Visa Westpac Corporate,Visa Wpac Co,2019-09-20 09:21:44.100000000
254,Visa Westpac Purchasing,Visa Westpac Purchasing,Visa Wpac P,2019-09-20 09:21:44.100000000
255,ING MasterCard,ING MasterCard,ING MC,2019-09-20 09:21:44.100000000
256,China Merchant Bank T&E,China Merchant Bank T&E,China MB T&E,2019-09-20 09:21:44.100000000
257,China Merchant Bank Purchasing,China Merchant Bank Purchasing,China MB P,2019-09-20 09:21:44.100000000
260,Amex Singapore,Amex Singapore,Amex SGP,2019-09-20 09:21:44.100000000
261,Amex Singapore Purchasing,Amex Singapore Purchasing,AMEX SIN P,2019-09-20 09:21:44.100000000
270,ABSA VISA,ABSA VISA,ABSA VISA,2019-09-20 09:21:44.100000000
271,Lloyds,Lloyds,Lloyds,2019-09-20 09:21:44.100000000
272,National Australia Bank NTA,National Australia Bank NTA,NAB NTA,2019-09-20 09:21:44.100000000
273,ANZ New Zealand Travel Card,ANZ NZ Lodge,ANZ NZ Lodge,2019-09-20 09:21:44.100000000
278,Lloyds Visa,Lloyds Visa,Lloyds Visa,2019-09-20 09:21:44.100000000
279,Citibank New Zealand,Citibank New Zealand,Citi NZ,2019-09-20 09:21:44.100000000
280,Bank of America - Australia (MC),Bank of America - Australia (MC),BoA AU(MC),2019-09-20 09:21:44.100000000
281,Nedbank VISA,Nedbank VISA,Nedbank,2019-09-20 09:21:44.100000000
282,Citibank - Purchasing cards,Citibank - Purchasing cards,Citibank Pc,2019-09-20 09:21:44.100000000
283,BOQ Specialist Bank Ltd,BOQ Specialist Bank,BOQS,2019-09-20 09:21:44.100000000
284,Bank of America VCP,Bank of America VCP,BoA VCP,2019-09-20 09:21:44.100000000
